OBJECTID,name,tile,nd_value,resolution,creationdate,fileurl,spec_type,qual,reg_src,num_gcps,meanresz,active,qc,release_version,num_components,Shape__Area,Shape__Length,x,y
7777,27_18_2_1_2m_v3.0,27_18,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_18/27_18_2_1_2m_v3.0.tar.gz,DEM,0.99723342,ICESat,920,0,1,2,7,45,2500000000,200000,,
7778,27_18_2_2_2m_v3.0,27_18,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_18/27_18_2_2_2m_v3.0.tar.gz,DEM,0.99925224,ICESat,920,0,1,2,7,45,2500000000,200000,,
7114,27_19_1_1_2m_v3.0,27_19,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_19/27_19_1_1_2m_v3.0.tar.gz,DEM,0.99929008,ICESat,917,0,1,2,7,49,2500000000,200000,,
7112,27_19_1_2_2m_v3.0,27_19,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_19/27_19_1_2_2m_v3.0.tar.gz,DEM,0.9942924,ICESat,917,0,1,2,7,49,2500000000,200000,,
7113,27_19_2_1_2m_v3.0,27_19,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_19/27_19_2_1_2m_v3.0.tar.gz,DEM,1,ICESat,917,0,1,2,7,49,2500000000,200000,,
7111,27_19_2_2_2m_v3.0,27_19,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_19/27_19_2_2_2m_v3.0.tar.gz,DEM,0.99998281,ICESat,917,0,1,2,7,49,2500000000,200000,,
8542,27_20_1_1_2m_v3.0,27_20,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_20/27_20_1_1_2m_v3.0.tar.gz,DEM,1,ICESat,929,-0.001,1,2,7,28,2500000000,200000,,
8543,27_20_1_2_2m_v3.0,27_20,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_20/27_20_1_2_2m_v3.0.tar.gz,DEM,1,ICESat,929,-0.001,1,2,7,28,2500000000,200000,,
8541,27_20_2_1_2m_v3.0,27_20,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_20/27_20_2_1_2m_v3.0.tar.gz,DEM,0.99481244,ICESat,929,-0.001,1,2,7,28,2500000000,200000,,
8544,27_20_2_2_2m_v3.0,27_20,-9999,2,"May 22, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_20/27_20_2_2_2m_v3.0.tar.gz,DEM,0.6177113,ICESat,929,-0.001,1,2,7,28,2500000000,200000,,
1427,27_21_1_1_2m_v3.0,27_21,-9999,2,"May 21, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_21/27_21_1_1_2m_v3.0.tar.gz,DEM,0.38782543,ICESat,693,-0.00066667,1,2,7,25,2500000000,200000,,
1429,27_21_1_2_2m_v3.0,27_21,-9999,2,"May 21, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_21/27_21_1_2_2m_v3.0.tar.gz,DEM,0.22136265,ICESat,693,-0.00066667,1,2,7,25,2500000000,200000,,
1430,27_21_2_1_2m_v3.0,27_21,-9999,2,"May 21, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_21/27_21_2_1_2m_v3.0.tar.gz,DEM,0.42540674,ICESat,693,-0.00066667,1,2,7,25,2500000000,200000,,
1428,27_21_2_2_2m_v3.0,27_21,-9999,2,"May 21, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_21/27_21_2_2_2m_v3.0.tar.gz,DEM,0.71837756,ICESat,693,-0.00066667,1,2,7,25,2500000000,200000,,
7876,27_22_1_1_2m_v3.0,27_22,-9999,2,"June 21, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/27_22/27_22_1_1_2m_v3.0.tar.gz,DEM,0.82612852,ICESat,1005,0,1,2,7,43,2500000000,200000,,
7096,28_12_1_1_2m_v3.0,28_12,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_12/28_12_1_1_2m_v3.0.tar.gz,DEM,0.98572879,ICESat,797,-0.01,1,2,7,46,2500000000,200000,,
7098,28_12_1_2_2m_v3.0,28_12,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_12/28_12_1_2_2m_v3.0.tar.gz,DEM,0.83872501,ICESat,797,-0.01,1,2,7,46,2500000000,200000,,
7095,28_12_2_1_2m_v3.0,28_12,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_12/28_12_2_1_2m_v3.0.tar.gz,DEM,0.9644131,ICESat,797,-0.01,1,2,7,46,2500000000,200000,,
7097,28_12_2_2_2m_v3.0,28_12,-9999,2,"May 26, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_12/28_12_2_2_2m_v3.0.tar.gz,DEM,0.69539347,ICESat,797,-0.01,1,2,7,46,2500000000,200000,,
3313,28_13_1_1_2m_v3.0,28_13,-9999,2,"July 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_13/28_13_1_1_2m_v3.0.tar.gz,DEM,0.99835041,ICESat,849,0.004,1,2,7,36,2500000000,200000,,
3315,28_13_1_2_2m_v3.0,28_13,-9999,2,"July 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_13/28_13_1_2_2m_v3.0.tar.gz,DEM,0.64020286,ICESat,849,0.004,1,2,7,36,2500000000,200000,,
3316,28_13_2_1_2m_v3.0,28_13,-9999,2,"July 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_13/28_13_2_1_2m_v3.0.tar.gz,DEM,0.98913264,ICESat,849,0.004,1,2,7,36,2500000000,200000,,
3314,28_13_2_2_2m_v3.0,28_13,-9999,2,"July 24, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_13/28_13_2_2_2m_v3.0.tar.gz,DEM,0.94148304,ICESat,849,0.004,1,2,7,36,2500000000,200000,,
1722,28_14_1_1_2m_v3.0,28_14,-9999,2,"May 30, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_14/28_14_1_1_2m_v3.0.tar.gz,DEM,0.99747313,ICESat,938,0,1,2,7,27,2500000000,200000,,
1721,28_14_1_2_2m_v3.0,28_14,-9999,2,"May 30, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_14/28_14_1_2_2m_v3.0.tar.gz,DEM,1,ICESat,938,0,1,2,7,27,2500000000,200000,,
1724,28_14_2_1_2m_v3.0,28_14,-9999,2,"May 30, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_14/28_14_2_1_2m_v3.0.tar.gz,DEM,0.99237677,ICESat,938,0,1,2,7,27,2500000000,200000,,
1723,28_14_2_2_2m_v3.0,28_14,-9999,2,"May 30, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_14/28_14_2_2_2m_v3.0.tar.gz,DEM,1,ICESat,938,0,1,2,7,27,2500000000,200000,,
324,28_15_1_1_2m_v3.0,28_15,-9999,2,"May 30, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_15/28_15_1_1_2m_v3.0.tar.gz,DEM,0.92424158,ICESat,886,0.004,1,2,7,30,2500000000,200000,,
322,28_15_1_2_2m_v3.0,28_15,-9999,2,"May 30, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_15/28_15_1_2_2m_v3.0.tar.gz,DEM,0.9995231,ICESat,886,0.004,1,2,7,30,2500000000,200000,,
323,28_15_2_1_2m_v3.0,28_15,-9999,2,"May 30, 2018",http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v3.0/2m/28_15/28_15_2_1_2m_v3.0.tar.gz,DEM,1,ICESat,886,0.004,1,2,7,30,2500000000,200000,,
